,mid,name,type,in_code,from_irs,from_imls,from_tps,from_pgf,gross,rev,u_rate,closed,loc_code,pct_poverty,county_pop
23667,8401800601,SUMNER B SHEETS MUSEUM OF WILDLIFE AND MARINE EXHIBITS INC,ZAW,0,1,0,0,0,0.0,0.0,4.0,False,town,10.9,36658.0
23668,8401800408,HUNTINGTON COUNTY HISTORICAL SOCIETY,GMU,0,1,0,1,0,0.0,0.0,4.0,False,town,10.9,36658.0
23669,8401800334,WINGS OF FREEDOM INC,GMU,0,1,0,0,0,0.0,0.0,4.0,False,rural,10.9,36658.0
23670,8401800442,HISTORIC FORKS OF THE WABASH INC,HSC,4,1,0,0,1,136425.0,132518.0,4.0,False,town,10.9,36658.0
23671,8401800504,ROANOKE AREA HERITAGE CENTER INC,GMU,0,1,0,1,0,0.0,0.0,4.0,False,rural,10.9,36658.0
23672,8401800120,DAN QUAYLE CENTER AND MUSEUM,GMU,0,0,1,0,0,0.0,0.0,4.0,False,town,10.9,36658.0
23673,8401800467,DAN QUAYLE COMMEMORATIVE FOUNDATION INC,HST,3,1,0,1,0,75627.0,56351.0,4.0,False,town,10.9,36658.0
23674,8402600705,GULLIVER HISTORICAL SOCIETY INC,HST,3,1,0,0,0,71067.0,50725.0,9.0,False,rural,15.9,8162.0
23675,8403100147,FREMONT OPERA HOUSE,HSC,4,0,0,0,1,236344.0,236344.0,3.7,False,town,11.6,36714.0
23676,8403100058,LOUIS E MAY MUSEUM,GMU,0,0,0,1,0,0.0,0.0,3.7,False,town,11.6,36714.0
23677,8403100075,DOUBLE S TRADERS,GMU,0,0,0,1,0,0.0,0.0,3.7,False,town,11.6,36714.0
23678,8403100314,DODGE COUNTY HISTORICAL SOCIETY,HSC,4,1,0,0,0,143357.0,137853.0,3.7,False,town,11.6,36714.0
23679,8403100302,FREMONT FIREFIGHTERS HISTORICAL SOCIETY INCORPORATED,HST,0,1,0,0,0,0.0,0.0,3.7,False,town,11.6,36714.0
23680,8403100036,MUSBACH MUSEUM,GMU,0,0,0,1,0,0.0,0.0,3.7,False,rural,11.6,36714.0
23681,8403100237,NEBRASKA RAILROAD MUSEUM,HSC,3,1,0,1,0,61608.0,61608.0,3.7,False,town,11.6,36714.0
23682,8403100295,MAINSTREET OF FREMONT INC,HSC,4,1,0,0,0,110057.0,94909.0,3.7,False,town,11.6,36714.0
23683,8401300633,OLD SOUTH MUSEUM & AG LEARNING CENT,GMU,0,1,0,1,0,0.0,0.0,7.3,False,rural,25.6,6381.0
23684,8401300290,PATSILIGA MUSEUM INC,GMU,0,1,0,0,0,0.0,0.0,7.3,False,rural,25.6,6381.0
23685,8401300414,HISTORIC TALBOTTON FOUNDATION INC,HSC,0,1,0,0,0,0.0,0.0,7.3,True,rural,25.6,6381.0
23686,8402100347,PAINTSVILLE LAKE HISTORICAL ASSOCIATION,HSC,3,1,0,0,0,78987.0,67021.0,9.7,False,rural,25.9,23283.0
23687,8402100203,VAN LEAR HISTORICAL SOCIETY INC,HSC,0,1,0,1,0,0.0,0.0,9.7,False,rural,25.9,23283.0
23688,8400500280,BOONEVILLE HISTORICAL PRESERVATION SOCIETY,HSC,0,1,0,0,0,0.0,0.0,5.4,False,rural,20.5,21959.0
23689,8400500071,PARIS COALMINERS MEMORIAL AND MINI MINE,HSC,0,1,0,0,0,0.0,0.0,5.4,False,town,20.5,21959.0
23690,8400500122,LOGAN COUNTY MUSEUM ASSOCIATION INC,GMU,0,1,0,1,0,0.0,0.0,5.4,False,town,20.5,21959.0
23691,8400500139,EVANS MUSEUM,GMU,0,1,0,0,0,0.0,0.0,5.4,False,rural,20.5,21959.0
23692,8400500235,ARKANSAS HISTORIC WINE MUSEUM,HSC,0,0,0,1,0,0.0,0.0,5.4,False,rural,20.5,21959.0
23693,8404700185,TWIN CITIES RAILROAD MUSEUM,GMU,0,1,0,0,0,0.0,0.0,8.0,False,town,19.5,30875.0
23694,8404700187,DISCOVERY PARK OF AMERICA INC,GMU,4,1,0,0,0,138374.0,138374.0,8.0,False,town,19.5,30875.0
23695,8404700313,OBION COUNTY MUSEUM INC,GMU,0,1,0,1,0,0.0,0.0,8.0,False,town,19.5,30875.0
23696,8405100527,THE 76TH REGIMENT OF FOOT HISTORICAL SOCIETY,HSC,0,1,0,0,0,0.0,0.0,4.0,False,city,7.1,72104.0
23697,8405100343,ROTARY CLUB OF THE HISTORIC TRIANGLE FOUNDATION INC,HSC,0,1,0,0,0,0.0,0.0,4.0,True,suburban,7.1,72104.0
23698,8405100124,JAMESTOWN SETTLEMENT,GMU,0,0,0,1,0,0.0,0.0,4.0,False,rural,7.1,72104.0
23699,8405100221,WHEATLAND FOUNDATION INC,HSC,0,1,0,0,0,0.0,0.0,4.0,True,suburban,7.1,72104.0
23700,8405100908,VIRGINIA STATE NAVY 1781 FOUNDATION,HSC,1,1,0,0,0,0.0,0.0,4.0,True,suburban,7.1,72104.0
23701,8402600605,CENTRAL LAKE AREA HISTORICAL SOCIETY,HSC,0,1,0,0,0,0.0,0.0,6.2,False,rural,14.2,23244.0
23702,8402600213,ALDEN DEPOT PARK AND MUSEUM,GMU,0,0,0,1,0,0.0,0.0,6.2,False,rural,14.2,23244.0
23703,8402600226,MY FATHERS LOVE,ART,0,1,0,0,0,0.0,0.0,6.2,True,rural,14.2,23244.0
23704,8402600586,ELK RAPIDS AREA HISTORICAL SOCIETY,HSC,3,1,0,0,0,36457.0,33382.0,6.2,False,rural,14.2,23244.0
23705,8402600722,HELENA TOWNSHIP HISTORICAL SOCIETY,HSC,0,1,0,0,0,0.0,0.0,6.2,False,rural,14.2,23244.0
23706,8402600877,MANCELONA AREA HISTORICAL SOCIETY,GMU,0,1,0,1,0,0.0,0.0,6.2,False,rural,14.2,23244.0
23707,8402600936,WILKINSON HOMESTEAD HISTORICAL SOCIETY INC,HSC,0,1,0,0,0,0.0,0.0,6.2,False,rural,14.2,23244.0
23708,8402601080,HISTORIC ELK RAPIDS TOWN HALL ASSOCIATION,HSC,0,1,0,0,0,0.0,0.0,6.2,False,rural,14.2,23244.0
23709,8401800738,NORTHWEST INDIANA STEEL HERITAGE PROJECT INC,GMU,0,1,0,0,0,0.0,0.0,5.0,False,suburban,11.6,167336.0
23710,8401800152,KANKAKEE VALLEY HISTORICAL SOCIETY INC,HSC,0,1,0,0,0,0.0,0.0,5.0,False,rural,11.6,167336.0
23711,8401800476,HISTORICAL SOCIETY OF OGDEN DUNES INDIANA INC,HSC,0,1,0,0,0,0.0,0.0,5.0,False,suburban,11.6,167336.0
23712,8401800490,MEMORIAL OPERA HOUSE FOUNDATION INC,HSC,0,1,0,1,1,0.0,0.0,5.0,False,suburban,11.6,167336.0
23713,8401800004,WESTCHESTER TWP HISTORY MUSEUM,GMU,0,0,0,1,0,0.0,0.0,5.0,False,suburban,11.6,167336.0
23714,8401800133,BAILLY HOMESTEAD AND CHELLBERG FARM,GMU,0,0,0,1,0,0.0,0.0,5.0,False,suburban,11.6,167336.0
23715,8401800262,PORTER COUNTY HERITAGE CORPORATION,GMU,3,1,0,1,0,91173.0,91173.0,5.0,False,suburban,11.6,167336.0
23716,8401800345,"BRAUER MUSEUM OF ART, VALPARAISO UNIVERSITY",GMU,9,0,1,1,0,160726191.0,153906993.0,5.0,False,suburban,11.6,167336.0
23717,8401800416,HISTORIC PRESERVATION OF PORTER COUNTY,HSC,0,1,0,0,0,0.0,0.0,5.0,False,suburban,11.6,167336.0
23718,8401800479,HEBRON HISTORICAL SOCIETY INC,HST,0,1,0,0,0,0.0,0.0,5.0,False,town,11.6,167336.0
23719,8401800560,TALTREE ARBORETUM AND GARDENS FOUNDATION INC,BOT,5,1,0,1,1,1921795.0,1599002.0,5.0,False,rural,11.6,167336.0
23720,8401800580,FRIENDS OF PORTER INC,HST,0,1,0,0,0,0.0,0.0,5.0,True,suburban,11.6,167336.0
23721,8401800579,BEVERLY SHORES MUSEUM AND ART GALLERY INC,ART,0,1,0,0,0,0.0,0.0,5.0,False,rural,11.6,167336.0
23722,8401800604,INDIANA AVIATION MUSEUM INC,GMU,0,1,0,1,0,0.0,0.0,5.0,False,suburban,11.6,167336.0
23723,8401800324,PORTAGE COMMUNITY HISTORICAL SOCIETY INC,HSC,0,1,0,0,0,0.0,0.0,5.0,False,suburban,11.6,167336.0
23724,8401800644,DUNELAND HISTORICAL SOCIETY INCORPORATED,HSC,0,1,0,0,0,0.0,0.0,5.0,False,suburban,11.6,167336.0
23725,8405600131,BUFFALO BILL DAM VISITORS CENTER INC,HSC,4,1,0,1,0,139370.0,139370.0,3.7,False,town,9.6,29069.0
23726,8405600112,HOMESTEADERS MUSEUM ASSN INC,GMU,0,1,1,1,0,0.0,0.0,3.7,False,town,9.6,29069.0
23727,8405600017,PARK COUNTY ARCHIVES,GMU,0,0,1,0,0,0.0,0.0,3.7,False,town,9.6,29069.0
23728,8405600059,MUSEUM OF THE OLD WEST,HST,4,1,1,0,0,239911.0,239911.0,3.7,False,rural,9.6,29069.0
23729,8405600057,MEETEETSE MUSEUM FOUNDATION INC,HSC,0,1,0,1,0,0.0,0.0,3.7,False,rural,9.6,29069.0
23730,8405600155,HEART MOUNTAIN WYOMING FOUNDATION,HSC,5,1,0,0,1,539386.0,511439.0,3.7,True,rural,9.6,29069.0
23731,8405600083,MEETEETSE MUSEUMS,GMU,0,0,0,1,0,0.0,0.0,3.7,False,rural,9.6,29069.0
23732,8405600167,FRIENDS OF PARK COUNTY HISTORY INC,HSC,0,1,0,0,0,0.0,0.0,3.7,False,rural,9.6,29069.0
23733,8405600033,HISTORIC WYOMING TERRITORY,HSC,0,0,0,1,0,0.0,0.0,3.7,False,town,9.6,29069.0
23734,8405600068,CODY HERITAGE MUSEUM,GMU,0,1,0,0,0,0.0,0.0,3.7,False,rural,9.6,29069.0
23735,8405600104,MEETEETSE MUSEUMS DISTRICT,GMU,0,0,1,0,0,0.0,0.0,3.7,False,rural,9.6,29069.0
23736,8405600108,BUFFALO BILL MEMORIAL ASSOCIATION,HST,8,1,1,0,1,24455850.0,19020739.0,3.7,False,town,9.6,29069.0
